anio,municipio_id,municipio_nombre,promocion_efectiva_primaria,promocion_efectiva_secundaria,repitencia_primaria,repitencia_secundaria,reinscripcion_primaria,reinscripcion_secundaria,abandono_interanual_primaria,abandono_interanual_secundaria,alumnos_promovidos_primaria,alumnos_promovidos_secundaria,alumnos_no_promovidos_primaria,alumnos_no_promovidos_secundaria,salidos_sin_pase_primaria,salidos_sin_pase_secundaria,salidos_con_pase_primaria,salidos_con_pase_secundaria,sobreedad_primaria,sobreedad_secundaria,sobreedad_avanzada_primaria,sobreedad_avanzada_secundaria
2016,6252,Escobar,96.9,81.38,2.93,11.9,0.19,1.97,-0.02,4.75,97.56,80.73,2.44,19.27,0.13,0.82,3.09,3.43,7.15,32.05,1.58,12.58
2017,6252,Escobar,97.25,83.6,3.01,10.84,0.17,0.73,-0.43,4.84,97.58,83.14,2.42,16.86,0.23,0.51,2.6,4.05,6.27,31.38,1.41,12.2
2018,6252,Escobar,97.32,83.63,2.43,10.98,0.11,1.0,0.14,4.4,98.07,85.12,1.93,14.88,0.14,0.27,2.87,2.83,6.62,29.13,1.52,10.51
2019,6252,Escobar,97.73,86.07,2.02,10.65,0.0,1.2,0.24,2.08,98.61,85.98,1.39,14.02,0.1,0.51,2.86,2.96,6.08,28.67,1.11,11.58
2020,6252,Escobar,100.61,99.62,0.03,0.03,0.05,0.07,-0.69,0.28,99.97,98.4,0.03,1.6,0.03,0.13,3.27,2.31,5.07,28.03,0.91,11.01
2021,6252,Escobar,98.79,94.09,1.5,3.58,0.0,0.26,-0.28,2.07,99.1,92.93,0.9,7.07,0.11,0.2,1.71,0.62,4.4,23.52,0.85,9.22
2022,6252,Escobar,99.09,90.29,1.01,5.12,0.01,0.31,-0.11,4.28,98.87,90.53,1.13,9.47,0.07,0.2,2.86,1.68,3.92,21.34,0.53,6.94
2012,6260,Esteban Echeverria,97.22,77.95,2.32,11.99,0.52,1.6,-0.06,8.46,97.63,74.04,2.37,25.96,0.46,1.62,4.56,3.46,14.27,41.61,4.45,19.36
2013,6260,Esteban Echeverria,97.44,77.14,1.23,13.59,0.09,1.52,1.24,7.75,98.81,74.59,1.19,25.41,0.45,2.02,4.24,3.11,12.67,38.9,3.8,17.88
2014,6260,Esteban Echeverria,98.65,81.95,1.12,10.88,0.1,1.95,0.13,5.22,99.01,78.97,0.99,21.03,0.25,2.11,4.71,3.71,10.25,38.51,2.86,17.52
2015,6260,Esteban Echeverria,98.15,80.12,1.29,12.4,0.03,1.29,0.52,6.19,98.53,78.08,1.47,21.92,0.17,1.27,3.62,3.82,8.61,38.98,2.37,17.27
2016,6260,Esteban Echeverria,95.41,77.86,3.37,14.68,0.06,1.21,1.16,6.25,97.59,79.01,2.41,20.99,0.2,1.04,4.17,3.89,7.45,36.68,1.79,16.56
2017,6260,Esteban Echeverria,95.82,79.8,3.35,12.58,0.07,1.18,0.76,6.45,97.66,78.5,2.34,21.5,0.21,1.04,4.05,3.86,6.77,34.58,1.65,15.55
2018,6260,Esteban Echeverria,95.34,80.5,3.26,12.52,0.15,0.46,1.25,6.52,98.21,80.61,1.79,19.39,0.14,0.82,4.13,3.92,6.37,32.69,1.43,14.69
2019,6260,Esteban Echeverria,95.99,82.99,3.32,12.17,0.23,1.06,0.47,3.78,97.72,82.21,2.28,17.79,0.13,1.04,3.69,3.2,5.84,33.12,1.32,14.75
2020,6260,Esteban Echeverria,99.47,98.57,0.04,0.03,0.0,0.37,0.49,1.03,100.0,97.74,0.0,2.26,0.04,0.5,3.56,3.22,5.95,29.13,1.3,12.51
2021,6260,Esteban Echeverria,96.87,88.66,2.98,8.0,0.16,0.21,-0.02,3.13,97.61,88.94,2.39,11.06,0.08,0.22,1.84,1.23,4.88,25.17,1.1,10.42
2022,6260,Esteban Echeverria,96.69,87.2,3.1,8.09,0.19,1.17,0.02,3.54,97.16,86.37,2.84,13.63,0.04,0.27,3.19,2.23,5.43,22.04,1.07,8.44
2012,6266,Exaltacion de la Cruz,96.51,81.29,3.67,12.32,0.21,1.62,-0.39,4.77,98.56,76.78,1.44,23.22,0.21,2.99,4.7,5.16,9.11,41.5,1.94,17.64
2013,6266,Exaltacion de la Cruz,96.53,78.15,1.38,12.27,0.11,3.27,1.98,6.31,99.47,78.95,0.53,21.05,0.06,2.42,4.63,5.56,8.53,38.87,2.31,17.27
2014,6266,Exaltacion de la Cruz,99.7,83.6,1.04,8.64,0.08,1.1,-0.82,6.67,99.76,82.0,0.24,18.0,0.26,2.08,4.94,6.13,6.26,35.45,1.28,13.54
2015,6266,Exaltacion de la Cruz,92.16,85.24,1.14,8.33,0.45,2.31,6.24,4.12,99.38,85.02,0.62,14.98,0.24,2.29,3.94,4.47,4.97,32.71,1.06,13.46
2016,6266,Exaltacion de la Cruz,98.32,82.54,1.73,11.26,0.15,0.71,-0.21,5.49,99.24,82.63,0.76,17.37,0.16,0.93,4.5,5.52,4.05,31.75,0.67,12.87
2017,6266,Exaltacion de la Cruz,98.54,84.98,1.99,10.54,0.0,0.9,-0.53,3.57,99.23,83.19,0.77,16.81,0.1,0.37,4.15,5.15,2.55,30.96,0.35,12.13
2018,6266,Exaltacion de la Cruz,98.92,82.92,2.09,12.24,0.1,2.9,-1.11,1.94,99.28,81.8,0.72,18.2,0.0,0.17,4.37,4.15,2.72,28.5,0.37,11.76
2019,6266,Exaltacion de la Cruz,98.67,87.92,1.65,6.2,0.0,1.41,-0.33,4.48,99.29,89.94,0.71,10.06,0.02,0.0,4.32,3.64,3.16,27.78,0.33,11.98
2020,6266,Exaltacion de la Cruz,100.1,98.62,0.27,0.0,0.0,0.06,-0.37,1.32,100.0,99.15,0.0,0.85,0.14,0.15,3.69,3.17,2.48,20.26,0.25,5.91
2021,6266,Exaltacion de la Cruz,98.24,92.26,1.3,3.98,0.0,0.78,0.47,2.98,99.63,93.1,0.37,6.9,0.0,0.25,8.56,2.73,1.49,16.54,0.29,3.9
2022,6266,Exaltacion de la Cruz,101.05,90.68,0.76,5.98,0.0,0.69,-1.81,2.65,99.2,88.27,0.8,11.73,0.11,0.16,10.66,3.45,1.47,17.92,0.37,3.86
2012,6270,Ezeiza,97.36,78.24,3.07,11.91,0.12,0.96,-0.54,8.88,97.03,76.45,2.97,23.55,0.52,3.64,4.29,5.44,14.96,44.42,5.21,19.91
2013,6270,Ezeiza,97.27,76.54,2.79,12.37,0.14,1.55,-0.2,9.55,97.58,75.7,2.42,24.3,0.53,3.14,3.52,4.05,13.67,40.65,4.57,18.53
2014,6270,Ezeiza,97.46,81.65,2.27,10.88,0.04,0.46,0.23,7.01,97.85,80.68,2.15,19.32,0.33,1.67,4.77,5.97,11.96,38.67,3.82,16.79
2015,6270,Ezeiza,97.56,79.64,1.96,12.97,0.04,1.02,0.44,6.37,97.99,78.69,2.01,21.31,0.37,1.72,4.51,4.58,10.48,40.25,3.18,16.66
2016,6270,Ezeiza,96.44,77.86,2.81,12.88,0.04,3.72,0.7,5.53,97.24,78.12,2.76,21.88,0.23,2.45,4.6,4.41,8.93,37.0,2.66,15.73
2017,6270,Ezeiza,97.23,81.28,2.79,11.86,0.02,1.0,-0.04,5.87,97.28,82.62,2.72,17.38,0.09,1.81,4.48,4.81,8.24,34.53,2.36,14.16
2018,6270,Ezeiza,96.42,85.69,2.69,10.97,0.15,1.38,0.73,1.96,97.89,83.04,2.11,16.96,0.07,1.44,3.6,5.59,7.25,33.67,2.06,14.21
2019,6270,Ezeiza,98.89,86.8,1.91,8.12,0.07,0.58,-0.88,4.51,98.9,88.13,1.1,11.87,0.04,1.18,3.95,5.27,6.72,31.1,1.72,12.33
2020,6270,Ezeiza,100.86,99.81,0.07,0.03,0.08,0.07,-1.01,0.08,100.0,98.89,0.0,1.11,0.0,0.04,3.7,4.81,4.98,26.93,1.08,10.29
2021,6270,Ezeiza,98.7,94.8,0.78,1.93,0.01,0.26,0.5,3.0,99.65,96.39,0.35,3.61,0.05,0.2,1.8,1.19,3.62,24.71,0.76,8.83
2022,6270,Ezeiza,99.85,92.88,0.95,3.73,0.01,0.24,-0.8,3.15,99.1,93.0,0.9,7.0,0.02,0.29,2.99,2.39,2.48,17.54,0.44,5.04
2012,6274,Florencio Varela,96.16,77.61,3.32,9.88,0.46,1.06,0.06,11.45,96.73,74.35,3.27,25.65,0.3,1.17,4.56,3.85,16.58,41.6,5.39,17.48
2013,6274,Florencio Varela,96.69,78.06,2.77,11.46,0.24,2.02,0.3,8.47,97.16,75.98,2.84,24.02,0.36,0.64,4.53,3.18,14.06,38.88,4.52,16.35
2014,6274,Florencio Varela,96.88,80.84,2.46,10.12,0.25,1.66,0.4,7.38,97.72,78.45,2.28,21.55,0.32,0.7,4.38,3.02,12.99,37.57,3.96,15.61
2015,6274,Florencio Varela,96.84,80.69,2.93,11.25,0.17,2.54,0.05,5.51,97.18,77.88,2.82,22.12,0.26,0.46,4.06,2.72,11.44,35.54,3.48,14.76
2016,6274,Florencio Varela,95.05,80.43,4.53,12.03,0.21,2.22,0.21,5.32,96.15,77.27,3.85,22.73,0.3,0.49,3.96,2.18,10.15,35.65,2.97,14.64
2017,6274,Florencio Varela,94.32,80.95,4.56,12.12,0.06,1.22,1.06,5.71,95.95,77.69,4.05,22.31,0.32,0.47,3.77,2.87,9.43,33.72,2.61,13.68
2018,6274,Florencio Varela,95.11,83.13,4.24,11.41,0.18,0.94,0.48,4.52,97.02,81.44,2.98,18.56,0.21,0.43,4.11,3.19,9.9,33.62,2.95,13.91
2019,6274,Florencio Varela,95.56,84.53,3.92,10.05,0.18,0.92,0.34,4.5,96.87,83.23,3.13,16.77,0.19,0.44,4.28,3.11,9.03,32.27,2.52,13.8
2020,6274,Florencio Varela,99.95,99.56,0.03,0.02,0.04,0.13,-0.02,0.29,100.0,97.69,0.0,2.31,0.13,0.2,3.87,3.1,8.38,30.55,2.38,11.84
2021,6274,Florencio Varela,95.91,90.89,3.68,5.82,0.07,0.19,0.33,3.1,96.92,91.55,3.08,8.45,0.16,0.33,1.64,1.08,6.33,27.18,1.66,10.45
2022,6274,Florencio Varela,94.77,88.21,4.53,6.9,0.18,0.14,0.52,4.75,96.06,88.17,3.94,11.83,0.1,0.53,3.63,2.48,6.94,24.97,1.63,8.86
2012,6277,Florentino Ameghino,99.9,82.11,0.69,7.89,0.2,0.56,-0.79,9.44,99.3,84.96,0.7,15.04,0.0,5.43,5.44,7.5,12.02,29.44,1.18,10.67
2013,6277,Florentino Ameghino,98.66,83.33,1.63,11.56,0.0,0.23,-0.29,4.88,98.55,83.89,1.45,16.11,0.0,3.85,6.1,6.17,9.1,27.89,0.48,11.9
2014,6277,Florentino Ameghino,94.21,78.31,4.65,8.79,0.0,2.28,1.14,10.63,98.85,85.27,1.15,14.73,0.09,3.34,4.16,3.96,6.17,28.96,0.38,11.93
2015,6277,Florentino Ameghino,96.01,87.34,3.06,6.85,0.0,0.58,0.93,5.23,96.93,83.31,3.07,16.69,0.09,3.5,3.23,9.5,6.96,24.97,0.28,8.48
2016,6277,Florentino Ameghino,92.69,81.49,5.83,12.34,0.19,3.2,1.3,2.97,95.97,80.86,4.03,19.14,0.35,2.83,4.01,6.12,8.33,22.74,1.3,7.66
2017,6277,Florentino Ameghino,94.46,88.56,4.72,9.51,0.18,2.04,0.64,-0.11,95.8,86.03,4.2,13.97,0.0,2.51,5.22,6.2,7.8,20.5,1.09,5.44
2018,6277,Florentino Ameghino,87.1,90.5,7.08,5.66,0.09,1.71,5.72,2.13,96.0,92.39,4.0,7.61,0.09,2.49,5.03,4.37,10.72,21.64,1.82,6.56
2019,6277,Florentino Ameghino,93.96,87.6,4.28,8.4,0.09,2.46,1.67,1.54,95.15,91.37,4.85,8.63,0.09,4.36,6.9,4.87,13.29,21.86,2.88,6.12
2020,6277,Florentino Ameghino,100.38,97.11,0.38,0.9,0.0,0.3,-0.77,1.7,100.0,98.27,0.0,1.73,0.0,0.4,4.19,4.74,13.41,24.55,3.26,7.78
2021,6277,Florentino Ameghino,89.59,92.0,5.35,4.45,0.29,0.49,4.78,3.06,98.82,93.29,1.18,6.71,0.0,0.19,1.23,2.18,9.46,21.64,1.62,7.21
2022,6277,Florentino Ameghino,94.62,88.31,3.55,7.76,1.01,0.29,0.81,3.64,97.78,88.02,2.22,11.98,0.19,0.09,4.32,5.12,10.34,22.41,2.03,6.99
2012,6280,General Alvarado,94.86,83.52,4.32,8.45,0.28,0.99,0.54,7.03,95.82,78.94,4.18,21.06,0.13,1.15,4.31,5.88,16.83,41.1,5.02,17.3
2013,6280,General Alvarado,95.71,81.7,5.12,9.79,0.81,2.21,-1.64,6.3,96.28,79.34,3.72,20.66,0.11,1.0,6.0,5.37,17.46,35.42,5.24,15.98
2014,6280,General Alvarado,96.68,85.52,2.94,7.25,0.07,1.8,0.31,5.43,97.42,82.17,2.58,17.83,0.19,0.56,4.02,6.51,13.47,38.97,3.46,16.45
2015,6280,General Alvarado,97.04,85.08,3.08,8.06,0.07,2.37,-0.19,4.49,96.66,83.63,3.34,16.37,0.02,0.86,4.48,5.82,13.26,35.52,3.27,15.18
2016,6280,General Alvarado,92.83,83.46,5.24,9.22,0.05,1.0,1.88,6.33,96.72,80.51,3.28,19.49,0.14,1.65,4.15,2.99,12.09,32.24,3.29,13.27
2017,6280,General Alvarado,93.91,86.53,6.02,8.65,0.51,0.54,-0.44,4.29,97.66,82.63,2.34,17.37,0.02,0.32,4.46,3.69,11.01,32.65,2.85,13.24
2018,6280,General Alvarado,95.58,86.56,3.58,9.76,0.29,1.54,0.55,2.14,98.45,84.22,1.55,15.78,0.05,0.95,4.0,3.64,10.06,32.53,2.04,13.79
2019,6280,General Alvarado,95.8,87.54,3.76,7.84,0.1,0.93,0.34,3.69,98.44,89.43,1.56,10.57,0.23,0.36,3.73,3.87,8.53,31.43,1.94,13.35
2020,6280,General Alvarado,99.69,98.62,0.5,0.05,0.22,0.02,-0.41,1.31,100.0,97.75,0.0,2.25,0.0,0.02,3.62,3.2,7.42,25.29,1.7,8.43
2021,6280,General Alvarado,97.55,90.79,2.47,3.53,0.05,0.68,-0.07,5.0,99.23,89.11,0.77,10.89,0.0,0.28,1.65,0.65,5.68,23.49,1.15,7.9
2022,6280,General Alvarado,97.28,90.12,2.58,5.99,0.0,0.66,0.14,3.23,97.93,85.92,2.07,14.08,0.0,0.17,3.12,1.92,3.96,22.46,0.71,7.23
2012,6287,General Alvear,96.81,84.59,2.16,7.89,1.41,0.12,-0.38,7.41,97.94,88.44,2.06,11.56,0.09,1.86,5.56,5.74,12.77,42.77,3.0,13.5
2013,6287,General Alvear,98.97,85.73,1.22,13.79,0.0,0.36,-0.19,0.12,98.58,84.0,1.42,16.0,0.0,0.23,4.48,6.84,12.3,27.94,2.54,12.71
2014,6287,General Alvear,94.92,79.77,2.49,11.38,0.57,2.64,2.01,6.21,98.82,83.76,1.18,16.24,0.93,0.22,5.7,3.59,10.73,29.08,2.78,12.99
2015,6287,General Alvear,93.37,84.55,4.39,8.68,0.1,3.83,2.14,2.93,97.03,81.72,2.97,18.28,0.68,0.44,4.92,7.29,9.69,28.75,1.73,12.74
2016,6287,General Alvear,92.13,77.68,3.98,16.52,0.51,12.72,3.37,-6.92,99.58,77.14,0.42,22.86,0.5,0.43,3.82,4.59,8.48,27.68,1.94,13.73
2017,6287,General Alvear,93.22,79.58,3.6,12.87,2.26,0.0,0.92,7.55,99.08,80.64,0.92,19.36,0.0,4.7,5.27,5.64,6.27,29.63,1.03,13.76
2018,6287,General Alvear,94.63,87.37,2.63,15.34,0.63,0.77,2.11,-3.48,98.94,84.94,1.06,15.06,0.0,0.45,5.17,5.44,5.37,27.35,0.63,12.28
2019,6287,General Alvear,94.91,86.72,2.29,9.25,0.0,0.33,2.81,3.7,98.63,83.68,1.37,16.32,0.0,0.54,4.26,5.55,4.16,23.72,0.31,8.16
2020,6287,General Alvear,99.38,101.3,0.31,0.0,0.0,0.0,0.31,-1.3,100.0,98.97,0.0,1.03,0.0,0.79,4.99,5.57,3.32,20.33,0.1,7.07
2021,6287,General Alvear,94.02,88.83,2.45,6.02,0.1,0.0,3.43,5.16,98.61,93.81,1.39,6.19,0.0,0.0,0.92,0.34,3.33,23.09,0.2,8.7
2022,6287,General Alvear,98.28,99.45,1.52,0.22,0.1,0.0,0.1,0.33,98.98,88.46,1.02,11.54,0.09,0.1,4.81,5.33,2.63,12.94,0.1,4.06
2012,6294,General Arenales,94.85,87.41,3.9,5.59,0.0,1.41,1.25,5.59,98.3,90.85,1.7,9.15,0.0,1.58,3.03,3.36,9.12,19.31,1.62,5.37
2013,6294,General Arenales,100.98,88.24,4.15,6.59,0.15,0.78,-5.29,4.39,98.41,88.64,1.59,11.36,0.15,1.79,4.6,5.16,9.82,17.92,1.66,4.96
2014,6294,General Arenales,95.39,88.03,4.02,6.39,0.45,1.56,0.15,4.01,97.97,90.09,2.03,9.91,0.07,1.88,3.43,3.03,9.11,17.17,1.85,4.83
2015,6294,General Arenales,96.78,91.65,2.85,4.92,0.3,0.75,0.07,2.68,99.62,91.2,0.38,8.8,0.22,1.82,3.62,3.98,8.16,18.87,1.12,5.52
2016,6294,General Arenales,92.09,87.95,5.91,5.99,0.54,0.0,1.46,6.06,97.91,89.45,2.09,10.55,0.07,2.78,3.49,3.2,5.76,17.96,0.77,5.63
2017,6294,General Arenales,97.57,98.21,2.97,3.37,0.16,1.0,-0.7,-2.58,98.43,92.46,1.57,7.54,0.0,1.42,4.36,3.62,6.73,17.39,1.02,4.97
2018,6294,General Arenales,94.09,90.62,4.9,5.91,0.0,0.61,1.01,2.86,98.2,93.34,1.8,6.66,0.0,1.79,3.2,4.06,5.81,17.14,0.23,5.21
2019,6294,General Arenales,95.4,92.66,3.75,2.47,0.23,0.41,0.61,4.46,99.24,93.99,0.76,6.01,0.0,2.11,4.9,4.45,5.75,17.71,0.31,5.42
2020,6294,General Arenales,98.74,98.89,0.22,0.35,0.07,0.0,0.96,0.76,100.0,100.0,0.0,0.0,0.0,0.0,3.11,5.74,4.37,15.57,0.15,4.29
2021,6294,General Arenales,96.28,94.31,2.98,2.64,0.0,0.14,0.74,2.91,98.81,97.72,1.19,2.28,0.0,0.99,0.67,0.89,2.9,17.14,0.0,4.74
2022,6294,General Arenales,97.1,95.85,0.97,2.46,0.37,0.14,1.56,1.55,99.1,96.03,0.9,3.97,0.0,0.07,1.68,3.05,3.49,12.86,0.07,3.3
2012,6301,General Belgrano,97.88,78.66,2.74,12.58,0.0,1.09,-0.61,7.68,97.47,76.71,2.53,23.29,0.05,3.85,2.89,7.25,15.03,38.45,2.85,17.41
2013,6301,General Belgrano,98.68,76.22,3.13,11.77,0.0,0.67,-1.81,11.34,99.89,80.29,0.11,19.71,0.0,5.09,4.25,6.1,13.63,33.29,3.24,14.39
2014,6301,General Belgrano,98.65,84.82,1.67,7.65,0.05,0.56,-0.38,6.97,99.29,85.72,0.71,14.28,0.26,3.75,5.02,5.63,12.8,30.29,2.11,11.66
2015,6301,General Belgrano,99.51,87.21,1.04,4.5,0.05,0.36,-0.6,7.93,98.62,89.49,1.38,10.51,0.53,3.14,4.29,4.11,9.23,27.07,1.65,10.24
2016,6301,General Belgrano,96.78,85.29,3.06,10.62,0.16,0.64,0.0,3.44,99.22,82.96,0.78,17.04,0.11,1.67,3.8,6.79,7.04,24.28,1.15,8.99
2017,6301,General Belgrano,95.2,89.47,2.7,8.89,0.0,0.68,2.1,0.96,98.59,80.2,1.41,19.8,0.0,0.48,4.19,5.23,5.6,27.35,1.13,8.66
2018,6301,General Belgrano,98.1,86.03,2.01,11.64,0.0,1.46,-0.11,0.87,99.52,82.58,0.48,17.42,0.05,0.32,3.06,4.31,5.49,27.5,0.82,9.96
2019,6301,General Belgrano,99.46,81.27,0.98,13.55,0.0,1.62,-0.44,3.56,99.67,86.25,0.33,13.75,0.21,0.2,3.28,4.92,5.5,25.33,0.6,9.58
2020,6301,General Belgrano,100.48,102.12,0.16,0.0,0.0,0.05,-0.65,-2.17,100.0,99.21,0.0,0.79,0.05,0.0,2.45,5.95,2.1,26.41,0.22,10.28
2021,6301,General Belgrano,99.53,91.67,0.88,3.89,0.0,0.05,-0.42,4.39,99.58,89.45,0.42,10.55,0.15,0.39,1.02,2.41,1.46,16.12,0.1,4.99
2022,6301,General Belgrano,100.16,89.98,0.52,7.33,0.0,1.06,-0.68,1.62,99.74,86.82,0.26,13.18,0.0,0.39,2.63,2.75,1.36,13.61,0.1,5.01
2012,6308,General Guido,97.13,87.96,2.87,5.69,0.0,0.0,0.0,6.35,99.27,90.91,0.73,9.09,0.0,2.83,4.52,4.1,7.17,39.8,1.08,13.38
2013,6308,General Guido,96.53,91.53,2.78,3.91,6.6,0.98,-5.9,3.58,98.98,87.94,1.02,12.06,0.0,1.04,3.51,3.77,6.94,34.85,0.35,11.4
2014,6308,General Guido,91.84,88.64,1.02,5.19,0.0,0.65,7.14,5.52,99.32,90.94,0.68,9.06,0.32,1.56,5.79,1.04,12.24,25.97,0.0,8.44
2015,6308,General Guido,100.36,87.38,1.45,6.15,0.0,0.32,-1.81,6.15,99.25,90.72,0.75,9.28,0.0,2.88,4.53,5.31,5.43,22.98,0.36,7.12
2016,6308,General Guido,91.46,86.82,5.34,4.05,0.36,0.68,2.85,8.45,96.72,93.07,3.28,6.93,0.0,3.0,4.98,4.15,6.41,20.61,0.71,5.07
2017,6308,General Guido,95.31,100.72,4.33,3.58,0.0,0.72,0.36,-5.02,98.86,94.34,1.14,5.66,0.35,3.53,2.49,5.67,6.45,20.07,1.08,6.45
2018,6308,General Guido,95.42,89.84,5.99,4.44,0.0,0.0,-1.41,5.71,98.61,95.59,1.39,4.41,0.0,1.94,6.36,2.83,6.34,17.38,0.0,5.25
2019,6308,General Guido,94.48,85.76,3.79,9.91,0.0,0.0,1.72,4.33,99.66,94.04,0.34,5.96,0.67,1.82,5.57,2.59,6.9,15.48,0.34,4.33
2020,6308,General Guido,98.55,96.74,1.09,0.0,0.36,0.0,0.0,3.26,100.0,97.23,0.0,2.77,0.0,1.78,1.67,6.67,4.73,17.8,0.73,3.56
2021,6308,General Guido,89.13,89.83,5.43,3.2,0.0,0.87,5.43,6.1,98.46,95.99,1.54,4.01,0.0,3.13,0.0,1.78,6.52,14.53,0.36,2.91
2022,6308,General Guido,94.47,94.13,5.14,4.69,0.0,0.0,0.4,1.17,97.3,93.47,2.7,6.53,0.0,0.0,7.83,4.83,7.11,12.32,0.0,2.93
2012,6322,General La Madrid,96.17,75.99,3.13,14.25,0.0,0.99,0.7,8.78,97.25,77.6,2.75,22.4,0.74,4.68,6.11,2.25,11.04,33.51,2.35,13.53
2013,6322,General La Madrid,97.0,81.94,1.73,8.63,0.0,0.72,1.27,8.72,98.24,80.77,1.76,19.23,0.62,2.72,6.34,6.27,11.49,31.54,2.99,15.72
2014,6322,General La Madrid,100.38,85.22,0.85,6.27,0.0,0.54,-1.23,7.97,99.52,87.27,0.48,12.73,0.71,2.87,4.31,3.77,9.92,32.17,2.74,12.81
2015,6322,General La Madrid,97.92,83.47,1.23,9.99,0.0,1.0,0.85,5.54,99.05,85.71,0.95,14.29,0.89,3.57,6.11,4.18,8.6,25.07,2.55,10.63
2016,6322,General La Madrid,96.62,83.57,2.61,9.93,0.0,0.45,0.77,6.05,97.49,86.07,2.51,13.93,0.0,5.01,5.44,2.14,6.48,29.33,0.97,12.18
2017,6322,General La Madrid,97.31,85.99,3.09,8.06,0.4,0.73,-0.8,5.22,96.72,85.81,3.28,14.19,0.28,3.14,4.78,2.2,6.47,25.82,1.59,9.8
2018,6322,General La Madrid,97.44,89.24,1.18,8.14,0.1,1.31,1.28,1.31,99.0,86.15,1.0,13.85,0.19,1.84,4.99,2.69,7.28,24.23,1.38,8.51
2019,6322,General La Madrid,95.8,88.09,1.27,8.09,0.1,0.82,2.83,3.0,99.0,85.9,1.0,14.1,0.0,0.71,4.29,2.48,5.27,25.45,0.78,9.91
2020,6322,General La Madrid,100.77,97.66,0.0,0.28,0.19,0.28,-0.96,1.78,100.0,98.4,0.0,1.6,0.0,0.37,3.47,3.62,4.34,24.23,0.58,9.26
2021,6322,General La Madrid,95.99,92.15,1.96,5.23,0.0,0.56,2.05,2.06,98.42,94.2,1.58,5.8,0.0,0.54,0.86,2.3,2.99,18.6,0.47,6.26
2022,6322,General La Madrid,99.43,92.07,1.9,6.18,1.52,0.0,-2.84,1.75,98.22,87.15,1.78,12.85,0.0,0.36,2.0,2.71,2.75,16.42,0.38,5.17
2012,6329,General Las Heras,98.85,79.65,2.35,11.96,0.0,0.18,-1.2,8.2,99.01,81.74,0.99,18.26,0.42,1.25,3.26,6.43,6.34,24.85,1.69,9.93
2013,6329,General Las Heras,97.82,82.31,0.54,11.79,0.11,1.08,1.52,4.81,99.56,84.43,0.44,15.57,0.11,2.5,5.29,6.15,7.08,26.35,1.42,9.93
2014,6329,General Las Heras,98.61,83.43,1.0,11.34,0.0,1.7,0.39,3.53,98.99,82.89,1.01,17.11,0.11,2.16,4.13,4.72,5.45,24.21,1.28,8.58
2015,6329,General Las Heras,99.05,85.06,1.45,11.03,0.0,0.29,-0.5,3.62,98.74,76.43,1.26,23.57,0.05,0.91,5.01,5.46,4.36,24.23,0.67,9.87
2016,6329,General Las Heras,96.77,88.56,2.04,6.44,0.11,0.0,1.08,5.0,98.75,73.35,1.25,26.65,0.16,0.17,2.81,6.69,13.44,23.74,0.91,8.62
2017,6329,General Las Heras,99.35,87.61,2.12,12.06,0.0,1.18,-1.47,-0.84,98.66,85.57,1.34,14.43,0.11,0.44,4.43,4.17,3.47,26.36,0.53,10.6
2018,6329,General Las Heras,94.52,88.87,3.42,7.63,2.54,0.11,-0.47,3.39,98.7,86.09,1.3,13.91,0.0,0.1,3.06,3.03,3.24,24.73,0.65,13.12
2019,6329,General Las Heras,94.79,89.78,4.61,10.86,0.48,2.85,0.12,-3.49,98.11,87.37,1.89,12.63,0.06,0.16,3.76,4.69,4.24,19.76,0.55,9.77
2020,6329,General Las Heras,99.16,101.91,0.48,0.0,0.12,1.7,0.24,-3.61,99.94,98.23,0.06,1.77,0.12,0.0,4.1,3.26,8.89,22.61,0.96,10.74
2021,6329,General Las Heras,100.18,91.98,1.35,6.06,0.0,2.83,-1.53,-0.87,99.83,90.62,0.17,9.38,0.0,0.0,0.6,2.29,3.24,16.6,0.29,7.91
2022,6329,General Las Heras,98.52,84.95,2.28,11.77,0.0,0.05,-0.8,3.23,97.9,84.34,2.1,15.66,0.0,0.0,2.33,4.41,4.78,17.71,0.46,8.59
2012,6336,General Lavalle,102.94,84.41,3.52,15.59,0.0,1.61,-6.46,-1.61,95.24,75.91,4.76,24.09,0.0,2.56,3.74,5.29,18.2,35.22,3.52,15.86
2013,6336,General Lavalle,99.82,83.49,2.02,14.59,0.18,4.55,-2.02,-2.63,98.14,74.29,1.86,25.71,0.0,0.68,4.55,6.14,17.1,33.97,4.6,14.59
2014,6336,General Lavalle,101.13,71.49,0.38,17.56,0.0,0.0,-1.51,10.95,99.62,68.84,0.38,31.16,0.0,0.4,4.09,3.39,11.91,47.11,3.78,20.45
2015,6336,General Lavalle,104.17,77.24,1.9,16.49,0.0,2.3,-6.07,3.97,98.43,78.0,1.57,22.0,0.0,1.66,4.06,3.64,8.35,51.15,1.71,26.72
2016,6336,General Lavalle,96.94,71.4,5.4,20.62,0.0,0.58,-2.34,7.39,96.38,66.47,3.62,33.53,0.0,0.76,3.77,4.78,7.91,51.56,1.44,22.76
2017,6336,General Lavalle,101.07,86.28,0.36,15.79,0.0,3.57,-1.43,-5.64,100.0,80.73,0.0,19.27,0.0,0.0,4.33,4.17,8.41,48.5,1.43,17.48
